Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,Rank,AVG Rank,High Rank
Bears,130,283,128,175,0,0,0,15,,
Bears,130,283,128,176,0,0,0,15,,
Bears,130,283,128,177,0,0,0,15,,
Bears,130,283,128,178,0,0,0,15,,
Bears,130,283,128,179,0,0,0,15,,
Bears,130,283,128,180,0,0,0,15,,
Bears,130,283,128,181,0,0,0,15,,
Bears,130,283,128,182,0,0,0,15,,
Bears,130,283,128,183,0,0,0,15,,
Bears,130,283,128,184,0,0,0,15,,
Bears,130,283,128,185,0,0,0,15,,
Bears,130,283,128,186,0,0,0,15,,
Bears,130,283,128,187,0,0,0,15,,
Bears,130,283,128,188,0,0,0,15,,
Bears,130,283,128,189,0,0,0,15,,
Bears,130,283,128,190,0,0,0,15,,
Bears,130,283,128,191,0,0,0,15,,
Bears,130,283,128,192,0,0,0,15,,
Bears,130,283,128,193,0,0,0,15,,
Bears,130,283,128,194,0,0,0,15,,
Bears,130,283,128,195,0,0,0,15,,
Bears,130,283,128,196,0,0,0,15,,
Bears,130,283,128,197,0,0,0,15,,
Bears,130,283,128,200,0,0,0,15,,
Bears,130,283,128,201,0,0,0,15,,
Bears,130,283,128,202,0,0,0,15,,
Bears,130,283,128,203,0,0,0,15,,
Bears,130,283,128,204,0,0,0,15,,
Bears,130,283,128,205,0,0,0,15,,
Bears,130,283,128,206,0,0,0,15,,
Bears,130,283,128,207,0,0,0,15,,
Bears,130,283,128,208,0,0,0,15,,
Bears,130,283,128,212,0,0,0,15,,
Bears,130,283,128,213,0,0,0,15,,
Bears,130,283,128,214,0,0,0,15,,
Bears,130,283,128,218,0,0,0,15,,
Bears,130,283,128,219,0,0,0,15,,
Bears,130,283,128,220,0,0,0,15,,
Bears,130,283,128,221,0,0,0,15,,
Bears,130,283,128,222,0,0,0,15,,
Bears,130,283,128,223,0,0,0,15,,
Bears,130,283,128,230,0,0,0,15,,
Bears,130,283,128,231,0,0,0,15,,
Bears,130,283,128,233,0,0,0,15,,
Bears,130,283,128,234,0,0,0,15,,
Bears,130,283,128,236,0,0,0,15,,
Bears,130,283,128,237,0,0,0,15,,
Bears,130,283,128,238,0,0,0,15,,
Bears,130,283,128,239,0,0,0,15,,
Bears,130,283,128,242,0,0,0,15,,
Bears,130,283,128,244,0,0,0,15,,
Bears,130,283,128,246,0,0,0,15,,
Bears,130,283,128,247,0,0,0,15,,
Bears,130,283,128,248,0,0,0,15,,
Bears,130,283,128,250,0,0,0,15,,
Bears,130,283,128,252,0,0,0,15,,
Bears,130,283,128,253,0,0,0,15,,
Bears,130,283,128,255,0,0,0,15,,
Bears,130,283,128,257,0,0,0,15,,
Bears,130,283,128,259,0,0,0,15,,
Bears,130,283,128,260,0,0,0,15,,
Bears,130,283,128,262,0,0,0,15,,
Bears,130,283,128,263,0,0,0,15,,
Bears,130,283,128,265,0,0,0,15,,
Bears,130,283,128,267,0,0,0,15,,
Bears,130,283,128,269,0,0,0,15,,
Bears,130,283,128,270,0,0,0,15,,
Bears,130,283,128,272,0,0,0,15,,
Bears,130,283,128,277,0,0,0,15,,
Bears,130,283,128,279,0,0,0,15,,
Bears,130,283,128,280,0,0,0,15,,
Bears,130,283,128,281,0,0,0,15,,
Bears,130,283,128,283,0,0,0,15,,
Bears,130,283,128,285,0,0,0,15,,
Bears,130,283,128,288,0,0,0,15,,
Bears,130,283,128,289,0,0,0,15,,
Bears,130,283,128,290,0,0,0,15,,
Bears,130,283,128,291,0,0,0,15,,
Bears,130,283,128,292,0,0,0,15,,
Bears,130,283,128,293,0,0,0,15,,
Bears,130,283,128,294,0,0,0,15,,
Bears,130,283,128,296,0,0,0,15,,
Bears,130,283,128,297,0,0,0,15,,
Bears,130,283,128,298,0,0,0,15,,
Bears,130,283,128,301,0,0,0,15,,
Bears,130,283,128,316,0,0,0,15,,
Bears,130,283,128,317,0,0,0,15,,
Bears,130,283,128,318,0,0,0,15,,
Bears,130,283,128,319,0,0,0,15,,
Bears,130,283,128,320,0,0,0,15,,
Bears,130,283,128,322,0,0,0,15,,
Bears,130,283,128,323,0,0,0,15,,
Bears,130,283,128,324,0,0,0,15,,
